Name,ISIN,Symbol,Market,Trading Currency,Open,High,Low,Last,Last Date/Time,Time Zone,Volume,Turnover,
O2I BSA,FR0013268042,O2IBS,Euronext Growth Paris,EUR,0.062,0.062,0.0615,0.0615,25/11/19,CET,1000,61.65,
O2I BSA 2,FR0013381431,ODBS2,Euronext Growth Paris,EUR,0.015,0.0175,0.015,0.0175,21/11/19,CET,7700,117.03,
OBER,FR0010330613,ALOBR,Euronext Growth Paris,EUR,9.35,9.35,9.3,9.3,26/11/19,CET,160,1488.05,
OCCIDENTAL PETROL.,US6745991058,OCPET,Traded not listed Brussels,USD,73,73,73,73,22/4/16,CET,37,2701,
OCEASOFT,FR0012407096,ALOCA,Euronext Growth Paris,EUR,2.85,2.9,2.85,2.85,26/11/19,CET,111524,317856.2,
OCI,NL0010558797,OCI,Euronext Amsterdam,EUR,18.215,18.215,17.955,17.965,26/11/19,CET,381111,6880531.34,
OCTOPUS ROBOTS,FR0013310281,MLOCT,Euronext Access Paris,EUR,0.86,0.86,0.86,0.86,26/11/19,CET,570,490.2,
OENEO,FR0000052680,SBT,Euronext Paris,EUR,10.88,11.34,10.8,11.34,26/11/19,CET,111553,1232376.78,
OL GROUPE,FR0010428771,OLG,Euronext Paris,EUR,3.1,3.11,3.06,3.1,26/11/19,CET,12371,38299.4,
OL GROUPE NV19,FR0013432697,OLGNV,Euronext Paris,EUR,-,-,-,-,-,CET,-,-,
OLI SISTEMAS,PTOIR0AE0003,OIR,Euronext Access Lisbon,EUR,-,-,-,-,-,BST,-,-,
OLMIX,FR0010176115,MLOLM,Euronext Access Paris,EUR,12,12,12,12,26/11/19,CET,189,2268,
ONCODESIGN,FR0011766229,ALONC,Euronext Growth Paris,EUR,6.02,6.06,5.96,5.96,26/11/19,CET,5076,30517.24,
ONE EXPERIENCE,FR0013266772,MLOEX,Euronext Access Paris,EUR,3.1,3.1,3.1,3.1,4/11/19,CET,34,105.4,
ONLINEFORMAPRO,FR0004174712,MLONL,Euronext Access Paris,EUR,3.3,3.3,3.3,3.3,14/6/19,CET,30,99,
ONTEX GROUP,BE0974276082,ONTEX,Euronext Brussels,EUR,17.05,17.05,16.67,16.82,26/11/19,CET,190871,3207867.12,
ONXEO,FR0010095596,ONXEO,Euronext Paris,EUR,0.55,0.564,0.544,0.55,26/11/19,CET,185559,102599.06,
OPEN ORPHAN PLC,GB00B9275X97,ORPH,Euronext Growth Dublin,EUR,0.06,0.06,0.06,0.06,22/11/19,UTC,600,36,
ORANGE,FR0000133308,ORA,Euronext Paris,EUR,14.91,15.01,14.805,15.01,26/11/19,CET,15292214,228926144.1,
ORANGE BELGIUM,BE0003735496,OBEL,Euronext Brussels,EUR,18.94,19.26,18.72,18.94,26/11/19,CET,107113,2028222.12,
ORANJEWOUD A,NL0000370419,ORANW,Euronext Amsterdam,EUR,6.2,6.25,6.2,6.25,26/11/19,CET,4357,27210.8,
ORAPI,FR0000075392,ORAP,Euronext Paris,EUR,3.62,3.63,3.6,3.6,26/11/19,CET,424,1534.02,
ORCHESTRA-PREMAMAN,FR0013190410,KAZI,Euronext Paris,EUR,0.1705,0.1705,0.1705,0.1705,26/11/19,CET,51,8.69,
ORCO BSAR 2019,LU0234878881,ORCBR,Euronext Paris,EUR,0.4,0.4,0.4,0.4,6/6/13,CET,1300,520,
ORCOBSAAR1219,XS0290764728,ORCOW,Euronext Brussels,,,,,,,,,,
ORDINA,NL0000440584,ORDI,Euronext Amsterdam,EUR,2.07,2.1,2.07,2.085,26/11/19,CET,202643,422495.88,
